from,to,value
E02000103,E02004231,1
E02000350,E02004234,1
E02000371,E02004237,4
E02000434,E02004231,1
E02000438,E02004236,1
E02000440,E02004231,1
E02000459,E02004236,1
E02000464,E02004235,1
E02000522,E02004232,1
E02000523,E02004231,1
E02000568,E02004236,1
E02000574,E02004236,1
E02000622,E02004239,1
E02000631,E02004236,2
E02000640,E02004233,1
E02000642,E02004233,1
E02000651,E02004233,1
E02000664,E02004233,1
E02000714,E02004233,1
E02000720,E02004237,1
E02000785,E02004236,1
E02000786,E02004236,2
E02000789,E02004236,1
E02000791,E02004236,1
E02000796,E02004236,1
E02000830,E02004233,1
E02000860,E02004232,1
E02000873,E02004233,2
E02000898,E02004230,1
E02000938,E02004237,1
E02000965,E02004238,1
E02001004,E02004239,1
E02001082,E02004236,1
E02001125,E02004236,1
E02001137,E02004231,1
E02001358,E02004236,1
E02001366,E02004230,1
E02001467,E02004233,1
E02001501,E02004236,1
E02001584,E02004236,1
E02001647,E02004236,1
E02001759,E02004235,1
E02001907,E02004236,1
E02001920,E02004237,1
E02001952,E02004236,1
E02001957,E02004236,1
E02002026,E02004239,1
E02002069,E02004230,1
E02002083,E02004236,1
E02002102,E02004231,2
E02002103,E02004231,1
E02002110,E02004236,1
E02002114,E02004231,1
E02002115,E02004234,1
E02002125,E02004230,1
E02002170,E02004236,1
E02002171,E02004236,2
E02002289,E02004236,1
E02002310,E02004239,1
E02002325,E02004236,1
E02002348,E02004234,1
E02002354,E02004234,1
E02002377,E02004233,2
E02002382,E02004234,1
E02002383,E02004233,1
E02002533,E02004239,1
E02002558,E02004236,1
E02002695,E02004238,1
E02002753,E02004236,1
E02002782,E02004234,2
E02002830,E02004233,1
E02002884,E02004233,1
E02002889,E02004231,1
E02002898,E02004235,1
E02002925,E02004235,1
E02002929,E02004234,3
E02002941,E02004231,1
E02002943,E02004232,1
E02002996,E02004233,1
E02002998,E02004233,1
E02003006,E02004230,1
E02003012,E02004236,1
E02003021,E02004237,1
E02003022,E02004236,1
E02003032,E02004236,1
E02003034,E02004239,2
E02003040,E02004230,1
E02003043,E02004237,1
E02003046,E02004232,1
E02003055,E02004231,1
E02003056,E02004231,1
E02003064,E02004231,1
E02003073,E02004233,2
E02003086,E02004230,1
E02003087,E02004233,1
E02003094,E02004236,1
E02003105,E02004236,1
E02003118,E02004231,1
E02003119,E02004231,1
E02003122,E02004230,2
E02003122,E02004231,11
E02003122,E02004232,4
E02003122,E02004233,42
E02003122,E02004234,4
E02003122,E02004235,27
E02003123,E02004230,1
E02003123,E02004231,6
E02003123,E02004232,4
E02003123,E02004233,23
E02003123,E02004234,5
E02003123,E02004235,15
E02003124,E02004230,2
E02003124,E02004231,9
E02003124,E02004232,3
E02003124,E02004233,13
E02003124,E02004234,3
E02003124,E02004235,14
E02003125,E02004230,3
E02003125,E02004231,1
E02003125,E02004232,1
E02003125,E02004233,9
E02003125,E02004234,2
E02003125,E02004235,4
E02003126,E02004230,2
E02003126,E02004231,5
E02003126,E02004232,4
E02003126,E02004233,16
E02003126,E02004234,8
E02003126,E02004235,11
E02003127,E02004231,5
E02003127,E02004232,1
E02003127,E02004233,9
E02003127,E02004235,9
E02003128,E02004231,5
E02003128,E02004232,3
E02003128,E02004233,16
E02003128,E02004234,3
E02003128,E02004235,10
E02003128,E02004239,1
E02003129,E02004230,1
E02003129,E02004231,6
E02003129,E02004233,14
E02003129,E02004234,2
E02003129,E02004235,6
E02003130,E02004230,2
E02003130,E02004231,16
E02003130,E02004232,1
E02003130,E02004233,17
E02003130,E02004234,4
E02003130,E02004235,6
E02003131,E02004230,2
E02003131,E02004231,6
E02003131,E02004232,1
E02003131,E02004233,14
E02003131,E02004234,5
E02003131,E02004235,4
E02003132,E02004230,1
E02003132,E02004231,3
E02003132,E02004232,2
E02003132,E02004233,14
E02003132,E02004234,5
E02003132,E02004235,8
E02003133,E02004231,3
E02003133,E02004232,3
E02003133,E02004233,14
E02003133,E02004235,6
E02003134,E02004231,3
E02003134,E02004232,2
E02003134,E02004233,5
E02003134,E02004234,2
E02003134,E02004235,9
E02003135,E02004231,5
E02003135,E02004233,12
E02003135,E02004234,1
E02003135,E02004235,4
