from,to,value
E02000002,E02001876,2
E02000012,E02001876,1
E02000022,E02001875,3
E02000028,E02001876,1
E02000035,E02001876,1
E02000055,E02001876,1
E02000056,E02001873,1
E02000065,E02001875,1
E02000066,E02001875,2
E02000084,E02001876,1
E02000095,E02001876,1
E02000096,E02001879,1
E02000104,E02001876,1
E02000115,E02001876,1
E02000125,E02001878,1
E02000133,E02001876,1
E02000167,E02001876,1
E02000169,E02001876,1
E02000192,E02001876,2
E02000193,E02001876,2
E02000199,E02001879,1
E02000201,E02001873,1
E02000204,E02001876,1
E02000207,E02001873,1
E02000233,E02001876,1
E02000242,E02001876,1
E02000251,E02001876,1
E02000256,E02001876,1
E02000257,E02001876,1
E02000260,E02001876,1
E02000263,E02001878,1
E02000268,E02001876,1
E02000274,E02001878,1
E02000316,E02001876,1
E02000320,E02001876,1
E02000333,E02001873,1
E02000334,E02001876,1
E02000341,E02001876,1
E02000353,E02001876,1
E02000356,E02001876,1
E02000367,E02001876,2
E02000368,E02001875,1
E02000383,E02001876,2
E02000387,E02001873,2
E02000394,E02001876,1
E02000398,E02001876,1
E02000413,E02001876,1
E02000424,E02001876,1
E02000431,E02001876,1
E02000433,E02001874,1
E02000440,E02001874,1
E02000466,E02001875,1
E02000479,E02001875,1
E02000508,E02001875,1
E02000510,E02001875,1
E02000514,E02001873,1
E02000522,E02001876,1
E02000525,E02001877,2
E02000534,E02001877,1
E02000535,E02001875,1
E02000541,E02001876,3
E02000547,E02001876,1
E02000550,E02001879,1
E02000553,E02001879,1
E02000563,E02001876,1
E02000566,E02001876,1
E02000571,E02001876,2
E02000574,E02001876,1
E02000576,E02001876,1
E02000578,E02001875,1
E02000586,E02001876,1
E02000611,E02001875,1
E02000621,E02001876,2
E02000625,E02001875,2
E02000628,E02001875,3
E02000645,E02001876,1
E02000646,E02001878,1
E02000651,E02001873,1
E02000664,E02001876,1
E02000673,E02001875,1
E02000701,E02001873,1
E02000728,E02001877,1
E02000744,E02001879,2
E02000746,E02001876,1
E02000747,E02001879,1
E02000769,E02001875,1
E02000769,E02001878,1
E02000773,E02001873,2
E02000776,E02001873,1
E02000776,E02001876,2
E02000780,E02001876,1
E02000783,E02001874,1
E02000784,E02001876,1
E02000794,E02001876,1
E02000799,E02001876,2
E02000803,E02001876,2
E02000805,E02001876,1
E02000813,E02001876,1
E02000828,E02001876,1
E02000837,E02001876,1
E02000838,E02001876,1
E02000839,E02001876,1
E02000842,E02001875,1
E02000846,E02001876,1
E02000850,E02001873,1
E02000919,E02001876,1
E02000920,E02001877,1
E02000921,E02001877,1
E02000922,E02001877,1
E02000931,E02001877,1
E02000934,E02001876,1
E02000945,E02001879,1
E02000950,E02001875,1
E02000950,E02001876,1
E02000953,E02001875,1
E02000956,E02001876,1
E02000973,E02001878,1
E02000977,E02001876,1
E02000979,E02001876,1
E02000982,E02001875,1
E02000985,E02001874,1
E02000989,E02001876,1
E02000998,E02001876,1
E02001002,E02001878,1
E02001003,E02001878,1
E02001005,E02001876,1
E02001007,E02001875,1
E02001017,E02001876,1
E02001018,E02001875,1
E02001020,E02001876,1
E02001023,E02001874,1
E02001031,E02001875,2
E02001036,E02001876,1
E02001039,E02001876,1
E02001040,E02001874,1
E02001062,E02001876,1
E02001077,E02001876,2
E02001081,E02001876,1
E02001084,E02001876,1
E02001087,E02001876,1
E02001091,E02001876,1
E02001114,E02001875,1
E02001117,E02001876,1
E02001129,E02001876,2
E02001137,E02001878,1
E02001148,E02001877,1
E02001152,E02001876,1
E02001155,E02001876,1
E02001156,E02001876,2
E02001158,E02001876,2
E02001159,E02001875,1
E02001163,E02001876,1
E02001168,E02001875,1
E02001168,E02001876,1
E02001173,E02001877,1
E02001177,E02001874,3
E02001188,E02001878,1
E02001189,E02001876,1
E02001194,E02001876,1
E02001196,E02001876,2
E02001202,E02001876,1
E02001215,E02001876,1
E02001217,E02001876,1
E02001234,E02001876,1
E02001237,E02001876,1
E02001237,E02001878,1
E02001241,E02001875,1
E02001243,E02001876,1
E02001245,E02001876,1
E02001253,E02001875,1
E02001255,E02001876,1
E02001257,E02001876,1
E02001259,E02001878,1
E02001264,E02001875,1
E02001269,E02001875,1
E02001277,E02001876,1
E02001277,E02001878,1
E02001279,E02001873,1
E02001279,E02001876,1
E02001279,E02001878,1
E02001281,E02001876,1
E02001283,E02001876,1
