from,to,value
E02000002,E02002911,1
E02000003,E02002911,1
E02000032,E02002911,1
E02000035,E02002911,1
E02000039,E02002916,1
E02000058,E02002911,1
E02000086,E02002911,1
E02000153,E02002912,1
E02000208,E02002910,1
E02000218,E02002910,1
E02000247,E02002910,1
E02000263,E02002916,1
E02000304,E02002916,1
E02000323,E02002910,1
E02000377,E02002910,1
E02000451,E02002910,1
E02000538,E02002910,1
E02000544,E02002911,1
E02000548,E02002911,1
E02000549,E02002910,1
E02000570,E02002911,1
E02000573,E02002911,1
E02000575,E02002918,1
E02000603,E02002915,2
E02000606,E02002910,1
E02000610,E02002916,1
E02000612,E02002910,1
E02000613,E02002910,1
E02000613,E02002916,1
E02000615,E02002912,1
E02000635,E02002915,1
E02000644,E02002911,1
E02000648,E02002915,1
E02000690,E02002916,1
E02000708,E02002910,1
E02000723,E02002910,1
E02000749,E02002915,1
E02000752,E02002916,1
E02000760,E02002916,1
E02000762,E02002916,2
E02000769,E02002911,1
E02000781,E02002916,1
E02000793,E02002910,1
E02000797,E02002911,1
E02000805,E02002910,1
E02000850,E02002910,1
E02000850,E02002911,2
E02000853,E02002910,1
E02000890,E02002914,1
E02000933,E02002911,1
E02000953,E02002910,1
E02000958,E02002910,1
E02000971,E02002911,2
E02000974,E02002916,1
E02000979,E02002911,1
E02000979,E02002915,1
E02000985,E02002911,1
E02000996,E02002911,2
E02001000,E02002911,1
E02001009,E02002911,1
E02001011,E02002916,2
E02001012,E02002911,1
E02001026,E02002911,1
E02001027,E02002911,1
E02001034,E02002911,1
E02001038,E02002911,1
E02001059,E02002911,1
E02001067,E02002916,1
E02001076,E02002912,1
E02001078,E02002912,1
E02001082,E02002916,1
E02001091,E02002911,2
E02001093,E02002911,1
E02001130,E02002912,1
E02001189,E02002916,1
E02001198,E02002911,1
E02001229,E02002910,1
E02001243,E02002912,1
E02001248,E02002911,1
E02001255,E02002910,1
E02001265,E02002911,1
E02001270,E02002916,1
E02001272,E02002916,1
E02001277,E02002911,1
E02001278,E02002916,1
E02001279,E02002911,2
E02001294,E02002916,1
E02001295,E02002911,1
E02001302,E02002911,1
E02001305,E02002911,1
E02001305,E02002916,1
E02001328,E02002911,1
E02001329,E02002916,1
E02001335,E02002911,1
E02001377,E02002916,2
E02001407,E02002914,1
E02001414,E02002915,1
E02001424,E02002911,1
E02001425,E02002916,1
E02001428,E02002916,1
E02001449,E02002911,1
E02001450,E02002916,1
E02001467,E02002911,3
E02001467,E02002916,1
E02001472,E02002911,1
E02001486,E02002914,2
E02001497,E02002911,1
E02001515,E02002911,1
E02001558,E02002910,1
E02001640,E02002916,1
E02001708,E02002912,1
E02001730,E02002917,1
E02001743,E02002912,1
E02001747,E02002912,2
E02001777,E02002911,1
E02001796,E02002911,1
E02001799,E02002911,1
E02001830,E02002916,1
E02001835,E02002910,1
E02001850,E02002910,1
E02001850,E02002914,1
E02001854,E02002914,1
E02001859,E02002910,2
E02001860,E02002916,1
E02001865,E02002914,1
E02001865,E02002916,2
E02001866,E02002916,1
E02001875,E02002915,2
E02001875,E02002916,2
E02001876,E02002917,2
E02001877,E02002916,1
E02001878,E02002916,2
E02001881,E02002916,1
E02001884,E02002916,1
E02001890,E02002916,2
E02001896,E02002914,3
E02001897,E02002916,1
E02001899,E02002916,5
E02001900,E02002914,1
E02001901,E02002916,3
E02001905,E02002911,1
E02001905,E02002916,5
E02001905,E02002919,1
E02001913,E02002910,1
E02001913,E02002916,4
E02001914,E02002916,2
E02001914,E02002918,1
E02001916,E02002914,1
E02001918,E02002915,1
E02001918,E02002916,4
E02001922,E02002916,1
E02001924,E02002916,1
E02001925,E02002916,1
E02001930,E02002915,1
