lng,lat
-1.8896,52.563
-1.8896,52.5095
-1.8896,52.456
-1.8896,52.4024
-1.8018,52.563
-1.8018,52.5095
-1.8018,52.456
-1.8018,52.4024
-1.7139,53.8266
-1.7139,53.7747
-1.626,53.8266
-1.626,53.7747
-1.5381,54.9524
-1.5381,54.9019
-1.5381,53.8266
-1.5381,53.7747
-1.5381,53.4095
-1.5381,53.3571
-1.5381,52.456
-1.5381,52.4024
-1.4502,54.9524
-1.4502,54.9019
-1.4502,53.8266
-1.4502,53.7747
-1.4502,53.4095
-1.4502,53.3571
-1.4502,52.456
-1.4502,52.4024
-1.1865,52.9883
-1.1865,52.9354
-1.1865,52.6697
-1.1865,52.6164
-1.0986,52.9883
-1.0986,52.9354
-1.0986,52.6697
-1.0986,52.6164
-0.4834,51.5907
-0.4834,51.5361
-0.4834,51.4814
-0.4834,51.4266
-0.3955,51.5907
-0.3955,51.5361
-0.3955,51.4814
-0.3955,51.4266
-0.3076,51.5907
-0.3076,51.5361
-0.3076,51.4814
-0.3076,51.4266
-0.3076,51.3718
-0.3076,51.3169
-0.2197,51.5907
-0.2197,51.4266
-0.2197,51.3718
-0.2197,51.3169
-0.1318,51.6998
-0.1318,51.6453
-0.1318,51.5907
-0.1318,51.3718
-0.1318,51.3169
-0.0439,51.6998
-0.0439,51.6453
-0.0439,51.5907
-0.0439,51.4266
-0.0439,51.3718
-0.0439,51.3169
0.0439,51.5907
0.0439,51.5361
0.0439,51.4814
0.0439,51.4266
0.1318,51.5907
0.1318,51.5361
0.1318,51.4814
0.1318,51.4266
-0.2417,51.5497
-0.2417,51.5224
-0.2417,51.4951
-0.2417,51.4677
-0.1978,51.5497
-0.1978,51.5224
-0.1978,51.4951
-0.1978,51.4677
-0.1538,51.5497
-0.1538,51.5224
-0.1538,51.4951
-0.1538,51.4677
-0.1538,51.4403
-0.1538,51.4129
-0.1099,51.5497
-0.1099,51.5224
-0.1099,51.4951
-0.1099,51.4677
-0.1099,51.4403
-0.1099,51.4129
-0.0659,51.5497
-0.0659,51.5224
-0.0659,51.4951
-0.0659,51.4677
-0.022,51.5497
-0.022,51.5224
-0.022,51.4951
-0.022,51.4677
