areacd,resident,workday,home,within,to1cd,to1,to2cd,to2,to3cd,to3,to4cd,to4,to5cd,to5,from1cd,from1,from2cd,from2,from3cd,from3,from4cd,from4,from5cd,from5,toother,fromother
E09000001,4785,357228,701,1506,E09000033,503,E09000007,347,E09000019,336,E09000030,306,E09000028,164,E09000032,16956,E09000030,15035,E09000028,13274,E09000033,12667,E09000022,12661,922,284428
E09000002,75493,48403,4764,14650,E09000016,6554,E09000026,5389,E09000025,4829,E09000030,4279,E09000033,3528,E09000016,7110,E09000026,4611,E09000025,2851,E06000034,2549,E07000066,1218,31500,10650
E09000003,172470,110785,21611,36031,E09000033,16672,E09000007,14006,E09000001,7990,E09000005,5908,E09000019,5864,E09000010,6641,E09000005,6268,E09000015,5040,E07000098,4206,E09000014,3439,64388,27549
E09000004,110680,63223,8663,25876,E09000011,10807,E09000033,6998,E09000001,5988,E07000107,5948,E09000006,4846,E09000011,5816,E07000107,5065,E09000006,2962,E07000111,1973,E07000109,1864,41554,11004
E09000005,148292,94749,13058,27338,E09000033,18019,E09000007,8735,E09000009,8195,E09000003,6268,E09000015,5199,E09000015,10364,E09000009,6238,E09000003,5908,E09000017,3052,E09000007,1677,61480,27114
E09000006,152363,98064,16167,41000,E09000033,12498,E09000001,9951,E09000028,6175,E09000023,5425,E09000030,4946,E09000008,6457,E09000023,6437,E09000004,4846,E09000011,3329,E07000111,3095,56201,16733
E09000007,110168,265215,14893,23151,E09000033,19863,E09000001,9856,E09000019,5590,E09000030,4192,E09000028,2507,E09000003,14006,E09000019,13297,E09000014,11983,E09000022,9995,E09000012,9760,30116,168130
E09000008,173926,104183,15887,48412,E09000033,11109,E09000022,7602,E09000029,6806,E09000006,6457,E09000001,6276,E09000029,5850,E09000006,4879,E07000215,3321,E09000022,2867,E09000024,2775,71377,20192
E09000009,165800,113074,15343,34302,E09000033,14283,E09000017,11650,E09000018,10385,E09000013,9360,E09000005,6238,E09000017,9560,E09000005,8195,E09000018,6732,E09000015,5024,E09000013,2665,64239,31253
E09000010,138390,91042,12531,37198,E09000014,10132,E09000033,8647,E09000003,6641,E09000007,6241,E09000019,5534,E07000095,5002,E09000014,4954,E09000003,4457,E09000031,3422,E07000072,1806,51466,21672
