from,to,value
E02000009,E02004026,1
E02000016,E02004021,1
E02000081,E02004024,1
E02000160,E02004024,1
E02000202,E02004024,1
E02000281,E02004024,1
E02000283,E02004027,1
E02000388,E02004023,1
E02000468,E02004028,1
E02000470,E02004028,1
E02000471,E02004028,1
E02000472,E02004028,1
E02000488,E02004028,1
E02000537,E02004020,1
E02000737,E02004026,1
E02000769,E02004028,1
E02000786,E02004024,1
E02000930,E02004028,1
E02000933,E02004027,1
E02000936,E02004028,1
E02000984,E02004021,1
E02000984,E02004025,1
E02000987,E02004026,1
E02000989,E02004023,2
E02000990,E02004021,1
E02000992,E02004023,2
E02000997,E02004026,1
E02000998,E02004023,1
E02001000,E02004023,1
E02001007,E02004020,2
E02001008,E02004023,1
E02001009,E02004024,1
E02001011,E02004021,1
E02001011,E02004023,1
E02001011,E02004024,1
E02001016,E02004023,1
E02001017,E02004023,2
E02001021,E02004026,1
E02001022,E02004022,1
E02001025,E02004023,1
E02001025,E02004029,1
E02001026,E02004029,1
E02001030,E02004024,1
E02001036,E02004027,1
E02001041,E02004020,1
E02001045,E02004024,1
E02001062,E02004023,1
E02001062,E02004027,1
E02001069,E02004024,1
E02001070,E02004024,1
E02001072,E02004023,1
E02001076,E02004021,1
E02001076,E02004024,1
E02001076,E02004027,2
E02001079,E02004026,1
E02001079,E02004027,1
E02001080,E02004024,1
E02001087,E02004020,1
E02001087,E02004023,1
E02001098,E02004024,1
E02001100,E02004023,1
E02001125,E02004024,1
E02001130,E02004026,1
E02001134,E02004026,1
E02001135,E02004023,1
E02001136,E02004023,1
E02001138,E02004023,1
E02001142,E02004023,1
E02001143,E02004020,1
E02001144,E02004023,1
E02001153,E02004024,1
E02001153,E02004025,1
E02001156,E02004023,1
E02001161,E02004020,3
E02001168,E02004026,1
E02001172,E02004022,1
E02001172,E02004025,1
E02001175,E02004025,1
E02001181,E02004025,1
E02001182,E02004024,1
E02001184,E02004020,1
E02001186,E02004023,1
E02001193,E02004025,2
E02001194,E02004021,1
E02001197,E02004021,1
E02001197,E02004026,1
E02001198,E02004025,1
E02001203,E02004024,1
E02001206,E02004023,1
E02001216,E02004026,1
E02001218,E02004024,1
E02001226,E02004024,1
E02001228,E02004024,2
E02001229,E02004024,1
E02001230,E02004023,1
E02001234,E02004023,1
E02001247,E02004023,2
E02001252,E02004024,1
E02001263,E02004021,1
E02001269,E02004020,1
E02001269,E02004026,1
E02001278,E02004024,1
E02001287,E02004024,1
E02001289,E02004023,1
E02001289,E02004025,1
E02001291,E02004025,1
E02001294,E02004025,1
E02001304,E02004020,1
E02001305,E02004020,1
E02001306,E02004023,1
E02001307,E02004024,1
E02001313,E02004022,1
E02001313,E02004023,1
E02001314,E02004023,2
E02001321,E02004020,1
E02001327,E02004022,1
E02001329,E02004022,1
E02001341,E02004022,1
E02001349,E02004023,1
E02001351,E02004027,1
E02001364,E02004022,1
E02001365,E02004022,2
E02001367,E02004029,1
E02001384,E02004020,1
E02001384,E02004025,2
E02001392,E02004026,1
